epoch,train_loss,test_loss,perplexity
0,7.815361105970477,6.994157136134174,1090.2445068359375
1,6.95518863879843,6.9115793426812795,1003.8311767578125
2,6.850713112437075,6.7875842011982845,886.768798828125
3,6.724502029076497,6.668033311093366,786.846435546875
4,6.622481085182279,6.582322174048841,722.2144775390625
5,6.547534066341516,6.51749497491569,676.8807983398438
6,6.488879855349924,6.465494870801663,642.5821533203125
7,6.440689272162989,6.42156943252304,614.9674682617188
8,6.397439521507481,6.378569171402778,589.084228515625
9,6.351756408088967,6.331617218174347,562.06494140625
