epoch,train_loss,test_loss,perplexity
0,4.29382056089743,3.3684206956277185,29.032636642456055
1,3.2521232080456777,3.182438804949538,24.105470657348633
2,3.1534985321764757,3.1323702019944473,22.928260803222656
3,3.1285086170457697,3.1286116905198886,22.842248916625977
4,3.1302775342871882,3.138456250881715,23.06822967529297
5,3.1388934901463554,3.1506285599830894,23.350736618041992
6,3.1518661404424964,3.161011570372425,23.59444808959961
7,3.1648747222732965,3.1683306003782783,23.76777458190918
8,3.1700399386579283,3.176373292277278,23.959699630737305
9,3.183692468656934,3.1921170507794208,24.33989906311035
