epoch,train_loss,test_loss,perplexity
0,3.17437015933755,1.486814463699002,4.422983646392822
1,1.62746778878186,0.9683586916347894,2.6336183547973633
2,1.2933357227249276,0.7425791605578341,2.1013481616973877
3,1.1145927952406107,0.6128945760824932,1.8457664251327515
4,0.9980580425599045,0.5254614185335055,1.6912391185760498
5,0.9141083695291522,0.46368129743263564,1.5899162292480469
6,0.8501050581089314,0.41981278779854203,1.5216766595840454
7,0.7990679604349193,0.38549639373672734,1.470344066619873
8,0.7578339255407477,0.3594186645033735,1.432496428489685
9,0.7232885933491334,0.33815649473903703,1.402359962463379
